setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
13,2021,29/03/2021,04/04/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,5.00,13844.00
18,2020,27/04/2020,03/05/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,5.00,8893.00
31,2021,02/08/2021,08/08/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,2,1.00,1816.00
11,2020,09/03/2020,15/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,7.00,10782.00
43,2020,19/10/2020,25/10/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,2.00,4877.00
44,2020,26/10/2020,01/11/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 59,3,2.00,112394.00
50,2020,07/12/2020,13/12/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,1,1.00,791.00
11,2021,15/03/2021,21/03/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,4,1.00,3926.00
15,2022,11/04/2022,17/04/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,1.00,19310.00
43,2022,24/10/2022,30/10/2022,64,GIRONA,6400,GIRONA,Home,70 a 79,3,1.00,18497.00
32,2022,08/08/2022,14/08/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,2.00,30874.00
44,2020,26/10/2020,01/11/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,4,14.00,10446.00
29,2021,19/07/2021,25/07/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,1,1.00,18584.00
3,2021,18/01/2021,24/01/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,4,1.00,7660.00
22,2022,30/05/2022,05/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,4,1.00,4011.00
14,2021,05/04/2021,11/04/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,4.00,34631.00
47,2020,16/11/2020,22/11/2020,64,GIRONA,6400,GIRONA,Home,80 o més,3,11.00,10222.00
1,2022,03/01/2022,09/01/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,3,1.00,21412.00
18,2020,27/04/2020,03/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,26.00,16611.00
10,2022,07/03/2022,13/03/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,2.00,32347.00
17,2022,25/04/2022,01/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,1.00,15344.00
14,2020,30/03/2020,05/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,2,18.00,9899.00
38,2021,20/09/2021,26/09/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,2.00,16680.00
7,2021,15/02/2021,21/02/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,4,1.00,17938.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,4,1.00,8003.00
46,2020,09/11/2020,15/11/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,4.00,41127.00
17,2020,20/04/2020,26/04/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,2,11.00,3191.00
18,2020,27/04/2020,03/05/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,3,2.00,11926.00
41,2020,05/10/2020,11/10/2020,61,LLEIDA,6100,LLEIDA,Dona,70 a 79,4,1.00,5032.00
22,2020,25/05/2020,31/05/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,4,1.00,3889.00
